Year,Wine Production tonnes
1961,4855300
1962,7497000
1963,5752370
1964,6243200
1965,6841720
1966,6225340
1967,6202620
1968,6646030
1969,5128960
1970,7540180
1971,6224510
1972,5946880
1973,8347210
1974,7643110
1975,6697410
1976,7414530
1977,5302000
1978,5890500
1979,8437728
1980,6971100
1981,5770000
1982,7995000
1983,6880000
1984,6415000
1985,7029000
1986,7422000
1987,6944000
1988,5745500
1989,6048400
1990,6552210
1991,4266930
1992,6492850
1993,5331440
1994,5464000
1995,5560100
1996,6003700
1997,5509800
1998,5427100
1999,6293500
2000,5754100
2001,5338800
2002,5000000
2003,4749060
2004,5910694
2005,5344170
2006,5349333
2007,4711600
2008,4268899
2009,4679170
2010,4531671
2011,5106761
2012,4209724
2013,4293455
2014,4742300
2015,4785700
2016,4504383
2017,3637009
2018,4888791
2019,4165524
2020,4390000
2021,3713200
